policy_name,summary_scope,mechanism,scenario_count,abstention_ok_count,commit_required_count,gray_zone_count,abstain_count,useful_abstention_count,harmful_abstention_count,useful_abstention_rate,harmful_abstention_rate,abstain_rate,comparison_name,comparison_metric_name,comparison_mechanism,comparison_reference_policy_name,comparison_comparator_policy_name,comparison_point_estimate_delta,comparison_one_sided_95_lcb,comparison_one_sided_95_ucb
consolidation_queue_lite,overall,,300,60,240,0,120,60,60,1.0,0.25,0.4,,,,,,,,
consolidation_queue_lite,mechanism,adversarial_pending_competition,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
consolidation_queue_lite,mechanism,adversarial_retraction,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
consolidation_queue_lite,mechanism,adversarial_scope_narrowing,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
consolidation_queue_lite,mechanism,adversarial_temporal_skew,60,0,60,0,60,0,60,0.0,1.0,1.0,,,,,,,,
consolidation_queue_lite,mechanism,adversarial_witness_conflict,60,60,0,0,60,60,0,1.0,0.0,1.0,,,,,,,,
cq_no_contestation_demotion,overall,,300,60,240,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_contestation_demotion,mechanism,adversarial_pending_competition,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_contestation_demotion,mechanism,adversarial_retraction,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_contestation_demotion,mechanism,adversarial_scope_narrowing,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_contestation_demotion,mechanism,adversarial_temporal_skew,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_contestation_demotion,mechanism,adversarial_witness_conflict,60,60,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_pending_lookup_use,overall,,300,60,240,0,240,60,180,1.0,0.75,0.8,,,,,,,,
cq_no_pending_lookup_use,mechanism,adversarial_pending_competition,60,0,60,0,60,0,60,0.0,1.0,1.0,,,,,,,,
cq_no_pending_lookup_use,mechanism,adversarial_retraction,60,0,60,0,60,0,60,0.0,1.0,1.0,,,,,,,,
cq_no_pending_lookup_use,mechanism,adversarial_scope_narrowing,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_pending_lookup_use,mechanism,adversarial_temporal_skew,60,0,60,0,60,0,60,0.0,1.0,1.0,,,,,,,,
cq_no_pending_lookup_use,mechanism,adversarial_witness_conflict,60,60,0,0,60,60,0,1.0,0.0,1.0,,,,,,,,
cq_no_source_independence_gate,overall,,300,60,240,0,60,0,60,0.0,0.25,0.2,,,,,,,,
cq_no_source_independence_gate,mechanism,adversarial_pending_competition,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_source_independence_gate,mechanism,adversarial_retraction,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_source_independence_gate,mechanism,adversarial_scope_narrowing,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_source_independence_gate,mechanism,adversarial_temporal_skew,60,0,60,0,60,0,60,0.0,1.0,1.0,,,,,,,,
cq_no_source_independence_gate,mechanism,adversarial_witness_conflict,60,60,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_wider_scope_pending_override,overall,,300,60,240,0,120,60,60,1.0,0.25,0.4,,,,,,,,
cq_no_wider_scope_pending_override,mechanism,adversarial_pending_competition,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_wider_scope_pending_override,mechanism,adversarial_retraction,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_wider_scope_pending_override,mechanism,adversarial_scope_narrowing,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_wider_scope_pending_override,mechanism,adversarial_temporal_skew,60,0,60,0,60,0,60,0.0,1.0,1.0,,,,,,,,
cq_no_wider_scope_pending_override,mechanism,adversarial_witness_conflict,60,60,0,0,60,60,0,1.0,0.0,1.0,,,,,,,,
mem0_lite,overall,,300,60,240,0,0,0,0,0.0,0.0,0.0,,,,,,,,
mem0_lite,mechanism,adversarial_pending_competition,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
mem0_lite,mechanism,adversarial_retraction,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
mem0_lite,mechanism,adversarial_scope_narrowing,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
mem0_lite,mechanism,adversarial_temporal_skew,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
mem0_lite,mechanism,adversarial_witness_conflict,60,60,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
naive_eager_write_lite,overall,,300,60,240,0,0,0,0,0.0,0.0,0.0,,,,,,,,
naive_eager_write_lite,mechanism,adversarial_pending_competition,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
naive_eager_write_lite,mechanism,adversarial_retraction,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
naive_eager_write_lite,mechanism,adversarial_scope_narrowing,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
naive_eager_write_lite,mechanism,adversarial_temporal_skew,60,0,60,0,0,0,0,0.0,0.0,0.0,,,,,,,,
naive_eager_write_lite,mechanism,adversarial_witness_conflict,60,60,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
no_memory_lite,overall,,300,60,240,0,300,60,240,1.0,1.0,1.0,,,,,,,,
no_memory_lite,mechanism,adversarial_pending_competition,60,0,60,0,60,0,60,0.0,1.0,1.0,,,,,,,,
