policy_name,summary_scope,mechanism,scenario_count,abstention_ok_count,commit_required_count,gray_zone_count,abstain_count,useful_abstention_count,harmful_abstention_count,useful_abstention_rate,harmful_abstention_rate,abstain_rate,comparison_name,comparison_metric_name,comparison_mechanism,comparison_reference_policy_name,comparison_comparator_policy_name,comparison_point_estimate_delta,comparison_one_sided_95_lcb,comparison_one_sided_95_ucb
consolidation_queue_lite,overall,,600,240,360,0,240,240,0,1.0,0.0,0.4,,,,,,,,
consolidation_queue_lite,mechanism,conflict_mild,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
consolidation_queue_lite,mechanism,conflict_moderate,120,120,0,0,120,120,0,1.0,0.0,1.0,,,,,,,,
consolidation_queue_lite,mechanism,conflict_polluted,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
consolidation_queue_lite,mechanism,conflict_witness,120,120,0,0,120,120,0,1.0,0.0,1.0,,,,,,,,
consolidation_queue_lite,mechanism,conflict_zero,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_contestation_demotion,overall,,600,240,360,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_contestation_demotion,mechanism,conflict_mild,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_contestation_demotion,mechanism,conflict_moderate,120,120,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_contestation_demotion,mechanism,conflict_polluted,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_contestation_demotion,mechanism,conflict_witness,120,120,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_contestation_demotion,mechanism,conflict_zero,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_pending_lookup_use,overall,,600,240,360,0,240,240,0,1.0,0.0,0.4,,,,,,,,
cq_no_pending_lookup_use,mechanism,conflict_mild,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_pending_lookup_use,mechanism,conflict_moderate,120,120,0,0,120,120,0,1.0,0.0,1.0,,,,,,,,
cq_no_pending_lookup_use,mechanism,conflict_polluted,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_pending_lookup_use,mechanism,conflict_witness,120,120,0,0,120,120,0,1.0,0.0,1.0,,,,,,,,
cq_no_pending_lookup_use,mechanism,conflict_zero,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_source_independence_gate,overall,,600,240,360,0,240,240,0,1.0,0.0,0.4,,,,,,,,
cq_no_source_independence_gate,mechanism,conflict_mild,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_source_independence_gate,mechanism,conflict_moderate,120,120,0,0,120,120,0,1.0,0.0,1.0,,,,,,,,
cq_no_source_independence_gate,mechanism,conflict_polluted,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_source_independence_gate,mechanism,conflict_witness,120,120,0,0,120,120,0,1.0,0.0,1.0,,,,,,,,
cq_no_source_independence_gate,mechanism,conflict_zero,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_wider_scope_pending_override,overall,,600,240,360,0,240,240,0,1.0,0.0,0.4,,,,,,,,
cq_no_wider_scope_pending_override,mechanism,conflict_mild,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_wider_scope_pending_override,mechanism,conflict_moderate,120,120,0,0,120,120,0,1.0,0.0,1.0,,,,,,,,
cq_no_wider_scope_pending_override,mechanism,conflict_polluted,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
cq_no_wider_scope_pending_override,mechanism,conflict_witness,120,120,0,0,120,120,0,1.0,0.0,1.0,,,,,,,,
cq_no_wider_scope_pending_override,mechanism,conflict_zero,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
mem0_lite,overall,,600,240,360,0,0,0,0,0.0,0.0,0.0,,,,,,,,
mem0_lite,mechanism,conflict_mild,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
mem0_lite,mechanism,conflict_moderate,120,120,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
mem0_lite,mechanism,conflict_polluted,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
mem0_lite,mechanism,conflict_witness,120,120,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
mem0_lite,mechanism,conflict_zero,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
naive_eager_write_lite,overall,,600,240,360,0,0,0,0,0.0,0.0,0.0,,,,,,,,
naive_eager_write_lite,mechanism,conflict_mild,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
naive_eager_write_lite,mechanism,conflict_moderate,120,120,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
naive_eager_write_lite,mechanism,conflict_polluted,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
naive_eager_write_lite,mechanism,conflict_witness,120,120,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
naive_eager_write_lite,mechanism,conflict_zero,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
no_memory_lite,overall,,600,240,360,0,600,240,360,1.0,1.0,1.0,,,,,,,,
no_memory_lite,mechanism,conflict_mild,120,0,120,0,120,0,120,0.0,1.0,1.0,,,,,,,,
no_memory_lite,mechanism,conflict_moderate,120,120,0,0,120,120,0,1.0,0.0,1.0,,,,,,,,
no_memory_lite,mechanism,conflict_polluted,120,0,120,0,120,0,120,0.0,1.0,1.0,,,,,,,,
no_memory_lite,mechanism,conflict_witness,120,120,0,0,120,120,0,1.0,0.0,1.0,,,,,,,,
no_memory_lite,mechanism,conflict_zero,120,0,120,0,120,0,120,0.0,1.0,1.0,,,,,,,,
reflection_eager_write_lite,overall,,600,240,360,0,0,0,0,0.0,0.0,0.0,,,,,,,,
reflection_eager_write_lite,mechanism,conflict_mild,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
reflection_eager_write_lite,mechanism,conflict_moderate,120,120,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
reflection_eager_write_lite,mechanism,conflict_polluted,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
reflection_eager_write_lite,mechanism,conflict_witness,120,120,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
reflection_eager_write_lite,mechanism,conflict_zero,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
scope_blind_transcript_rag_lite,overall,,600,240,360,0,0,0,0,0.0,0.0,0.0,,,,,,,,
scope_blind_transcript_rag_lite,mechanism,conflict_mild,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
scope_blind_transcript_rag_lite,mechanism,conflict_moderate,120,120,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
scope_blind_transcript_rag_lite,mechanism,conflict_polluted,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
scope_blind_transcript_rag_lite,mechanism,conflict_witness,120,120,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
scope_blind_transcript_rag_lite,mechanism,conflict_zero,120,0,120,0,0,0,0,0.0,0.0,0.0,,,,,,,,
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_mem0,useful_abstention,useful:conflict_moderate,consolidation_queue_lite,mem0_lite,1.0,1.0,1.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_mem0,useful_abstention,useful:conflict_witness,consolidation_queue_lite,mem0_lite,1.0,1.0,1.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_mem0,harmful_abstention,harmful:conflict_mild,consolidation_queue_lite,mem0_lite,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_mem0,harmful_abstention,harmful:conflict_polluted,consolidation_queue_lite,mem0_lite,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_mem0,harmful_abstention,harmful:conflict_zero,consolidation_queue_lite,mem0_lite,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_reflection_eager_write,useful_abstention,useful:conflict_moderate,consolidation_queue_lite,reflection_eager_write_lite,1.0,1.0,1.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_reflection_eager_write,useful_abstention,useful:conflict_witness,consolidation_queue_lite,reflection_eager_write_lite,1.0,1.0,1.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_reflection_eager_write,harmful_abstention,harmful:conflict_mild,consolidation_queue_lite,reflection_eager_write_lite,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_reflection_eager_write,harmful_abstention,harmful:conflict_polluted,consolidation_queue_lite,reflection_eager_write_lite,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_reflection_eager_write,harmful_abstention,harmful:conflict_zero,consolidation_queue_lite,reflection_eager_write_lite,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_contestation_demotion,useful_abstention,useful:conflict_moderate,consolidation_queue_lite,cq_no_contestation_demotion,1.0,1.0,1.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_contestation_demotion,useful_abstention,useful:conflict_witness,consolidation_queue_lite,cq_no_contestation_demotion,1.0,1.0,1.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_contestation_demotion,harmful_abstention,harmful:conflict_mild,consolidation_queue_lite,cq_no_contestation_demotion,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_contestation_demotion,harmful_abstention,harmful:conflict_polluted,consolidation_queue_lite,cq_no_contestation_demotion,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_contestation_demotion,harmful_abstention,harmful:conflict_zero,consolidation_queue_lite,cq_no_contestation_demotion,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_wider_scope_pending_override,useful_abstention,useful:conflict_moderate,consolidation_queue_lite,cq_no_wider_scope_pending_override,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_wider_scope_pending_override,useful_abstention,useful:conflict_witness,consolidation_queue_lite,cq_no_wider_scope_pending_override,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_wider_scope_pending_override,harmful_abstention,harmful:conflict_mild,consolidation_queue_lite,cq_no_wider_scope_pending_override,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_wider_scope_pending_override,harmful_abstention,harmful:conflict_polluted,consolidation_queue_lite,cq_no_wider_scope_pending_override,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_wider_scope_pending_override,harmful_abstention,harmful:conflict_zero,consolidation_queue_lite,cq_no_wider_scope_pending_override,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_pending_lookup_use,useful_abstention,useful:conflict_moderate,consolidation_queue_lite,cq_no_pending_lookup_use,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_pending_lookup_use,useful_abstention,useful:conflict_witness,consolidation_queue_lite,cq_no_pending_lookup_use,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_pending_lookup_use,harmful_abstention,harmful:conflict_mild,consolidation_queue_lite,cq_no_pending_lookup_use,0.0,0.0,0.0
,pairwise_comparison,,,,,,,,,,,,consolidation_queue_vs_cq_no_pending_lookup_use,harmful_abstention,harmful:conflict_polluted,consolidation_queue_lite,cq_no_pending_lookup_use,0.0,0.0,0.0
