policy_name,summary_scope,template_id,template_kind,template_split,scenario_count,answer_correctness,false_assertion_rate,leakage_rate,premature_promotion_rate,poison_promotion_rate,clean_durable_displacement_rate,retraction_demotion_rate,stale_evidence_promotion_rate,narrow_scope_override_success_rate,pending_competition_resolution_rate,useful_abstention_rate,useful_abstention_count,useful_abstention_applicable_count,harmful_abstention_rate,harmful_abstention_count,harmful_abstention_applicable_count,useful_recall,used_pending,durable_commit,useful_recall_before_contradiction,used_pending_before_contradiction,durable_commit_before_contradiction,false_assertion_after_contradiction,contradiction_recovery_rate,answer_correctness_after_contradiction,average_time_to_demotion,comparison_name,comparison_metric_name,comparison_reference_policy_name,comparison_comparator_policy_name,comparison_point_estimate_delta,comparison_one_sided_95_lcb,comparison_one_sided_95_ucb
reflection_eager_write_lite,overall,,,,25,0.36,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.64,0.36,0.36,0.0,,,,,,,
reflection_eager_write_lite,template_kind,,clean,,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,
reflection_eager_write_lite,template_kind,,dirty,,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,
reflection_eager_write_lite,template_split,,,main,25,0.36,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.64,0.36,0.36,0.0,,,,,,,
reflection_eager_write_lite,template_id,forced_contradiction_clean_v1,,,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,
reflection_eager_write_lite,template_id,forced_contradiction_dirty_v1,,,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,
reflection_eager_write_lite,template_id,forced_contradiction_dirty_v2,,,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,
consolidation_queue_lite,overall,,,,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36,0.64,1.0,0.36,0.64,0.0,1.0,1.0,0.0,,,,,,,
consolidation_queue_lite,template_kind,,clean,,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,
consolidation_queue_lite,template_kind,,dirty,,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,
